20220829	17:35:45	fa24f6cd-fb35-48a1-8108-48c3361b7841	GET	undefined	/subdir/img/angry.jpg
20220829	17:35:45	c2a93f09-c389-4c69-bfda-63b4fb6da5e0	GET	undefined	/favicon.ico
20220829	17:44:00	71e480b0-c1ee-4604-b678-1f59135da38c	GET	undefined	/
20220829	17:44:00	0539dd7b-e057-42bb-9111-7b856ee30057	GET	undefined	/css/404.css
20220829	17:44:00	59716a3f-f73e-4340-87b4-38bc39190cf1	GET	undefined	/img/angry.jpg
20220829	17:44:00	60c6a766-0f9d-4ee5-951f-90f094b23e49	GET	undefined	/favicon.ico
20220829	17:44:12	4313893c-9b2e-4a0e-88cd-71c51e8a8d0e	GET	undefined	/new-index
20220829	17:44:12	f6bd9e9b-9cc4-4a0e-82fb-4cf8afbb1e2e	GET	undefined	/public/css/novo-index.css
20220829	17:44:12	355e1626-766c-4ad2-b7aa-be7e649c08e3	GET	undefined	/public/img/nice2.png
20220829	17:44:21	4ba98f0a-2d14-48f3-892c-5430a7cc66cf	GET	undefined	/index
20220829	17:44:21	34a9d0db-ddd8-4970-9fca-a975a08d980c	GET	undefined	/public/css/index.css
20220829	17:44:21	1c160c0d-c89b-4ae5-a20c-4341a7b0e955	GET	undefined	/public/img/nice.jpg
20220829	17:44:21	98e9bb0c-3949-48af-8134-52afb9369cde	GET	undefined	/favicon.ico
20220829	17:45:01	46eae81f-ce20-4b09-86e6-d0d214c1b13b	GET	undefined	/index
20220829	17:45:01	db119239-fa63-4e01-a8ef-f2b701989087	GET	undefined	/public/css/index.css
20220829	17:45:01	68a5b001-b1b2-4f91-87ec-0ab35480de44	GET	undefined	/public/img/nice.jpg
20220829	17:45:01	4bf6f1fb-4f24-41eb-9756-49df396e481b	GET	undefined	/favicon.ico
20220829	17:45:06	c5450362-d321-4591-9afc-3176eba8318e	GET	undefined	/
20220829	17:45:07	63361238-ec23-4d1c-88ee-2a62ca2f182e	GET	undefined	/css/404.css
20220829	17:45:07	c3ea1779-0dce-454a-a633-4a27e899199f	GET	undefined	/img/angry.jpg
20220829	17:45:07	857ed574-a40c-4e8a-bc94-e069d59fcd77	GET	undefined	/favicon.ico
20220829	17:45:12	e0be87df-f374-449e-bb09-a8ad39dd75a9	GET	undefined	/index
20220829	17:45:12	78ed47c7-1e8a-4e06-af3b-42811735a53a	GET	undefined	/public/css/index.css
20220829	17:45:12	c008f352-938e-4427-8b12-d03973b020b3	GET	undefined	/public/img/nice.jpg
20220829	17:45:12	23c2a9f6-9a36-46fd-b1dd-d84c8b0e6bae	GET	undefined	/favicon.ico
20220829	17:47:01	6357a95d-dade-4e0f-ad8b-c3ef10057bc2	GET	undefined	/index
20220829	17:47:01	6e26a6a0-b53d-4d1e-a109-285696d267f7	GET	undefined	/css/index.css
